0,"シュート（v）
",0
1,"ショット（n）
",1
2,"火（魚雷、ロケット、ミサイル）（v）
",2
3,"砲手（n）
",3
4,"愛、愛されている人（n）
",4
5,"金属（n）
",5
6,"名誉（n）
",6
7,"名誉あり、名誉あり（adv）
",7
8,"軌道（v）
",8
9,"座る（v）
",9
10,"苦しむ（v）
",10
11,"デフレクター（n）
",11
12,"ライフル（n）
",12
13,"見る（v）
",13
14,"喜ぶ（v）
",14
15,"喜び（n）
",15
16,"不愉快に思う（v）
",16
17,"年前（n）
",17
18,"苦ny（n）
",18
19,"文句を言う、オブジェクト、不満（v）
",19
20,"乗組員、乗組員（n）
",20
21,"イライラする（v）
",21
22,"女性、女性（n）
",22
23,"女の子（n）
",23
24,"妻（n）
",24
25,"妹（n）
",25
26,"半分（n）
",26
27,"刑務所、刑務所（n）
",27
28,"彼ら、彼ら（言語ができない）（プロ）
",28
29,"下の領域、下の領域（n）
",29
30,"10万（num）
",30
31,"水（n）
",31
32,"川（n）
",32
33,"海（n）
",33
34,"寒い（v）
",34
35,"緊張する、不安になる（v）
",35
36,"ブレーク（ルール）（v）
",36
37,"モジュール（n）
",37
38,"輝く、輝く（v）
",38
39,"生まれる（v）
",39
40,"せっかちな（v）
",40
41,"ナグ（v）
",41
42,"偶然、偶然（adv）
",42
43,"同盟（n）
",43
44,"補佐官（n）
",44
45,"アシスト（v）
",45
46,"副官（n）
",46
47,"復ven（n）
",47
48,"収集（v）
",48
49,"防止、ブロック、禁止（v）
",49
50,"中央、中央（n）
",50
51,"時代（n）
",51
52,"裁判所（n）
",52
53,"怠け者になる（v）
",53
54,"終了（v）
",54
55,"脅かす（v）
",55
56,"胃（n）
",56
57,"に集中し、焦点を合わせ、（v）についてのみ考える
",57
58,"爪の下の汚れ（n）
",58
59,"分類（n）
",59
60,"分類（v）
",60
61,"軍曹（n）
",61
62,"魚雷（n）
",62
63,"緊急事態（n）
",63
64,"ドロップ（v）
",64
65,"彼ら、彼ら（言語を使用できる）（プロ）
",65
66,"空（n）
",66
67,"技術者（n）
",67
68,"戻る（手の）（n）
",68
69,"おそらく（adv）
",69
70,"征服する（v）
",70
71,"達成（v）
",71
72,"達成（n）
",72
73,"許可、許可（v）
",73
74,"どうやって？ （質問）
",74
75,"show、display（picture）（v）
",75
76,"2（数字）
",76
77,"秒（数値）
",77
78,"前日（n）
",78
79,"明後日（n）
",79
80,"2回（adv）
",80
81,"ジリチウム（n）
",81
82,"二リチウム結晶（n）
",82
83,"酔っている、酔っている（v）
",83
84,"リターン（v）
",84
85,"欠陥（v）
",85
86,"追加（v）
",86
87,"構築、形式（v）を取る
",87
88,"繁栄し、繁栄する（v）
",88
89,"確立、セットアップ（v）
",89
90,"許容する（v）
",90
91,"魚雷発射管（n）
",91
92,"別に（v）
",92
93,"ルール、統治、実行（v）
",93
94,"意図的に、意図的に、意図的に（adv）
",94
95,"認める（v）
",95
96,"ナビゲート（v）
",96
97,"ナビゲーター（n）
",97
98,"空っぽ、人けのない、人がいない（v）
",98
99,"カット、トリム（髪）（v）
",99
100,"寺院（構造）（n）
",100
101,"白（v）
",101
102,"変更、変更（v）
",102
103,"変更（n）
",103
104,"近づく、近づく、近づく（v）
",104
105,"ポニーテールホルダー（n）
",105
106,"バーテンダー（n）
",106
107,"垂直になる（v）
",107
108,"一口（v）
",108
109,"保存（v）
",109
110,"腹（n）
",110
111,"8（数字）
",111
112,"8番目（num）
",112
113,"砂漠（v）
",113
114,"ミステリー（n）
",114
115,"殺人（v）
",115
116,"標本（n）
",116
117,"氷（n）
",117
118,"罪のない（v）
",118
119,"流星（n）
",119
120,"加速する（v）
",120
121,"推奨、提案（v）
",121
122,"範囲、距離（n）
",122
123,"貴族（n）
",123
124,"うるさい（v）
",124
125,"法律（n）
",125
126,"残される（v）
",126
127,"残り物（文法用語）（n）
",127
128,"スラスタ（n）
",128
129,"新しくなる（v）
",129
130,"エンゲージ、アクティベート（デバイス）（v）
",130
131,"欠席する（v）
",131
132,"今（adv）
",132
133,"おもしろい（v）
",133
134,"つまらない（v）
",134
135,"占める（軍事用語）（v）
",135
136,"ナンセンス（n）
",136
137,"盗聴（v）
",137
138,"ポニーテール（n）
",138
139,"ブート（n）
",139
140,"ブートスパイク（n）
",140
141,"どこでも（n）
",141
142,"反乱（v）
",142
143,"反乱、革命（n）
",143
144,"肉体（ランク）（n）
",144
145,"砂漠（n）
",145
146,"サラウンド（v）
",146
147,"ヘルム（n）
",147
148,"ヘルムスマン（n）
",148
149,"崩壊（v）
",149
150,"説明（v）
",150
151,"デネビア（n）
",151
152,"デネビア語（n）
",152
153,"カトルデネビアスライムデビル（n）
",153
154,"（非ヒューマノイド）（n）
",154
155,"クレジット（通貨単位）（n）
",155
156,"腕（体の部分）（n）
",156
157,"リード、ガイド（v）
",157
158,"データ、情報（n）
",158
159,"コンピューター（n）
",159
160,"特権（n）
",160
161,"確実性（n）
",161
162,"支払い（v）
",162
163,"エンレイソウ（n）
",163
164,"スピン（v）
",164
165,"名詞（n）
",165
166,"スキン（n）
",166
167,"洞窟（n）
",167
